 Antal dgr;Tabellnr;Inkomst fr.o.m.;Inkomst t.o.m.;Kolumn 1;Kolumn 2;Kolumn 3;Kolumn 4;Kolumn 5;Kolumn 6
30B;29;76801;77000;30117;30376;28686;28686;31217;31217
30B;29;77001;77200;30231;30484;28800;28800;31325;31325
30B;29;77201;77400;30345;30592;28914;28914;31433;31433
30B;29;77401;77600;30459;30700;29028;29028;31541;31541
30B;29;77601;77800;30573;30808;29142;29142;31649;31649
30B;29;77801;78000;30687;30916;29256;29256;31757;31757
30B;29;78001;78200;30801;31024;29370;29370;31865;31865
30B;29;78201;78400;30915;31132;29484;29484;31973;31973
30B;29;78401;78600;31029;31240;29598;29598;32081;32081
30B;29;78601;78800;31143;31348;29712;29712;32189;32189
30B;29;78801;79000;31257;31456;29826;29826;32297;32297
30B;29;79001;79200;31371;31564;29940;29940;32405;32405
30B;29;79201;79400;31485;31672;30054;30054;32513;32513
30B;29;79401;79600;31599;31780;30168;30168;32621;32621
