Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
01 27  02;BOTKYRKA;GRÖDINGE;33.42;32.41;20.15;12.08;0.18;1.01
01 28  01;SALEM;SALEM;32.679;31.84;19.67;12.08;0.09;0.839
01 36  01;HANINGE;ÖSTERHANINGE;32.745;31.90;19.68;12.08;0.14;0.845
01 36  05;HANINGE;DALARÖ-ORNÖ-UTÖ;32.865;32.00;19.68;12.08;0.24;0.865
01 36  06;HANINGE;VÄSTERHANINGE-MUSKÖ;32.685;31.91;19.68;12.08;0.15;0.775
01 38  01;TYRESÖ;TYRESÖ;32.515;31.70;19.50;12.08;0.12;0.815
01 39  01;UPPLANDS-BRO;BRO;32.75;31.81;19.60;12.08;0.13;0.94
01 39  03;UPPLANDS-BRO;KUNGSÄNGEN-VÄSTRA RYD;32.72;31.84;19.60;12.08;0.16;0.88
01 40  01;NYKVARN;TURINGE-TAXINGE;33.35;32.28;19.97;12.08;0.23;1.07
01 60  01;TÄBY;TÄBY;30.695;29.92;17.65;12.08;0.19;0.775
01 62  01;DANDERYD;DANDERYD;30.285;29.56;17.35;12.08;0.13;0.725
01 63  01;SOLLENTUNA;SOLLENTUNA;31.115;30.30;18.12;12.08;0.10;0.815
01 80  01;STOCKHOLM;STOCKHOLMS DOMKYRKOFÖRS.;31.08;30.055;17.90;12.08;0.075;1.025
01 80  04;STOCKHOLM;S:T JOHANNES;30.99;30.055;17.90;12.08;0.075;0.935
01 80  05;STOCKHOLM;ADOLF FREDRIK;31.03;30.055;17.90;12.08;0.075;0.975
01 80  06;STOCKHOLM;GUSTAV VASA;31.03;30.055;17.90;12.08;0.075;0.975
01 80  07;STOCKHOLM;S:T MATTEUS;30.72;30.055;17.90;12.08;0.075;0.665
01 80  09;STOCKHOLM;ENGELBREKT;30.84;30.055;17.90;12.08;0.075;0.785
01 80  10;STOCKHOLM;HEDVIG ELEONORA;30.79;30.055;17.90;12.08;0.075;0.735
01 80  11;STOCKHOLM;OSCAR;30.74;30.055;17.90;12.08;0.075;0.685
01 80  13;STOCKHOLM;MARIA MAGDALENA;30.92;30.055;17.90;12.08;0.075;0.865
01 80  14;STOCKHOLM;HÖGALID;30.83;30.055;17.90;12.08;0.075;0.775
